index,milliseconds,open,high,low,close,volume,dt,log_return,asset_return
0,1597125600000,2.85,3.47,2.85,2.9515,20032.26,2020-08-11T06:00:00.000Z,0.0,1.0
1,1597129200000,2.9515,3.1355,2.88,2.9224,42069.37,2020-08-11T07:00:00.000Z,-0.00990831919967139,0.9901406064712859
2,1597132800000,2.9626,3.0,2.9144,2.96,24280.76,2020-08-11T08:00:00.000Z,0.01278407183703334,1.0128661374212975
3,1597136400000,2.96,2.9736,2.85,2.8543,26371.23,2020-08-11T09:00:00.000Z,-0.036362639178394884,0.9642905405405405
4,1597140000000,2.8566,2.9329,2.8433,2.8976,26685.94,2020-08-11T10:00:00.000Z,0.015056178989437896,1.0151700942437727
5,1597143600000,2.9167,3.1,2.9015,3.0497,12474.53,2020-08-11T11:00:00.000Z,0.05116041697884399,1.0524917172832688
6,1597147200000,3.0497,3.329,3.0488,3.1111,136779.72,2020-08-11T12:00:00.000Z,0.01993313627817961,1.0201331278486407
7,1597150800000,3.111,3.2768,2.8625,3.2768,233029.25,2020-08-11T13:00:00.000Z,0.05189097501896134,1.0532609045032304
8,1597154400000,3.2787,3.5208,3.0744,3.2499,362238.07,2020-08-11T14:00:00.000Z,-0.00824310978550269,0.9917907714843749
9,1597158000000,3.2499,3.3926,3.15,3.19,170827.9,2020-08-11T15:00:00.000Z,-0.01860330984074099,0.9815686636511893
10,1597161600000,3.1751,3.3595,3.1143,3.2475,105510.39,2020-08-11T16:00:00.000Z,0.017864552765864294,1.018025078369906
11,1597165200000,3.2475,3.384,3.2475,3.2978,67008.38,2020-08-11T17:00:00.000Z,0.015370109922113295,1.0154888375673594
12,1597168800000,3.3,3.3047,3.21,3.2676,31896.32,2020-08-11T18:00:00.000Z,-0.009199808999153625,0.9908423797683303
13,1597172400000,3.2676,3.2754,3.155,3.1886,49635.13,2020-08-11T19:00:00.000Z,-0.02447382149444932,0.97582323417799
14,1597176000000,3.1938,3.203,2.95,3.0774,121302.78,2020-08-11T20:00:00.000Z,-0.03549686434998711,0.965125760521859
15,1597179600000,3.0775,3.2495,3.07,3.2184,44151.99,2020-08-11T21:00:00.000Z,0.044799257012300586,1.045817898225775
16,1597183200000,3.2128,3.25,3.08,3.2061,34992.96,2020-08-11T22:00:00.000Z,-0.0038290964366176627,0.9961782252050709
17,1597186800000,3.2037,3.3191,3.2,3.2985,43097.8,2020-08-11T23:00:00.000Z,0.028412574463964946,1.0288200617572751
18,1597190400000,3.2985,3.2985,3.09,3.1127,64788.66,2020-08-12T00:00:00.000Z,-0.0579773029262447,0.9436713657723206
19,1597194000000,3.1064,3.32,3.08,3.232,69220.85,2020-08-12T01:00:00.000Z,0.03761062390430503,1.0383268544993094
20,1597197600000,3.2311,3.2575,3.1317,3.1317,36985.7,2020-08-12T02:00:00.000Z,-0.03152515255862354,0.9689665841584157
21,1597201200000,3.1317,3.3,3.1129,3.2802,55281.42,2020-08-12T03:00:00.000Z,0.04632840804664595,1.0474183350895678
22,1597204800000,3.2802,3.2953,3.15,3.2611,40644.95,2020-08-12T04:00:00.000Z,-0.005839834369815167,0.9941771843180294
23,1597208400000,3.2478,3.2478,3.1769,3.2296,17503.99,2020-08-12T05:00:00.000Z,-0.009706271220462304,0.9903406825917636
24,1597212000000,3.2192,3.2641,3.1323,3.2538,69963.6,2020-08-12T06:00:00.000Z,0.007465253536339089,1.0074931880108993
25,1597215600000,3.2538,3.3661,3.2121,3.3661,60332.39,2020-08-12T07:00:00.000Z,0.03393126008762026,1.034513491917143
26,1597219200000,3.3577,3.52,3.35,3.4503,244976.89,2020-08-12T08:00:00.000Z,0.024706379603955053,1.025014111286058
27,1597222800000,3.4503,3.7,3.4001,3.6669,173413.69,2020-08-12T09:00:00.000Z,0.06088543468468144,1.0627771498130598
28,1597226400000,3.668,3.9176,3.5015,3.9049,227903.53,2020-08-12T10:00:00.000Z,0.06288555629994175,1.0649049605934169
29,1597230000000,3.9049,3.9289,3.6491,3.6842,148902.61,2020-08-12T11:00:00.000Z,-0.05817876903315167,0.9434812671259187
30,1597233600000,3.6733,3.7756,3.653,3.6755,73631.8,2020-08-12T12:00:00.000Z,-0.002364227903974614,0.9976385646816134
31,1597237200000,3.676,3.8554,3.6434,3.745,78069.33,2020-08-12T13:00:00.000Z,0.018732439137177703,1.0189089919738812
32,1597240800000,3.7573,3.9,3.746,3.81,73978.36,2020-08-12T14:00:00.000Z,0.0172075721694267,1.0173564753004005
33,1597244400000,3.8272,3.85,3.7,3.7678,41862.48,2020-08-12T15:00:00.000Z,-0.011137912389472815,0.9889238845144356
34,1597248000000,3.7704,3.7889,3.65,3.7569,70134.33,2020-08-12T16:00:00.000Z,-0.002897127493177498,0.9971070651308456
35,1597251600000,3.7453,3.7678,3.6505,3.7446,43982.51,2020-08-12T17:00:00.000Z,-0.0032793470700440697,0.9967260241156273
36,1597255200000,3.7195,3.8423,3.6762,3.7018,29376.77,2020-08-12T18:00:00.000Z,-0.01149561434543589,0.9885702077658495
37,1597258800000,3.7098,3.7441,3.6,3.6788,30017.89,2020-08-12T19:00:00.000Z,-0.006232575794073991,0.993786806418499
38,1597262400000,3.6788,3.794,3.6652,3.7142,18641.09,2020-08-12T20:00:00.000Z,0.009576699730410088,1.0096227030553442
39,1597266000000,3.7142,3.74,3.7,3.7207,22553.22,2020-08-12T21:00:00.000Z,0.0017485108491122059,1.0017500403855473
40,1597269600000,3.7208,3.8225,3.6729,3.693,26479.52,2020-08-12T22:00:00.000Z,-0.007472686755501501,0.9925551643507943
41,1597273200000,3.6732,3.7559,3.6732,3.7558,18397.37,2020-08-12T23:00:00.000Z,0.0168621759215426,1.0170051448686703
42,1597276800000,3.75,3.8512,3.7428,3.7703,48211.24,2020-08-13T00:00:00.000Z,0.0038532620987978827,1.0038606954576923
43,1597280400000,3.7703,3.8,3.6886,3.7601,39505.23,2020-08-13T01:00:00.000Z,-0.0027090210979432428,0.9972946449884624
44,1597284000000,3.7729,3.7771,3.5537,3.6457,36648.7,2020-08-13T02:00:00.000Z,-0.030897161874522627,0.9695752772532645
45,1597287600000,3.6449,3.8128,3.6228,3.7593,61837.96,2020-08-13T03:00:00.000Z,0.030684378938911294,1.031159996708451
46,1597291200000,3.7404,3.9364,3.6436,3.6822,122541.59,2020-08-13T04:00:00.000Z,-0.020722370216242902,0.9794908626606017
47,1597294800000,3.6865,3.85,3.6243,3.7458,49349.19,2020-08-13T05:00:00.000Z,0.017124812672647316,1.0172722828743685
48,1597298400000,3.7547,3.8997,3.7249,3.8997,34680.5,2020-08-13T06:00:00.000Z,0.04026441478632958,1.041086016338299
49,1597302000000,3.8914,4.1387,3.878,4.0785,128456.23,2020-08-13T07:00:00.000Z,0.04482964665855205,1.0458496807446727
50,1597305600000,4.0946,4.1222,3.65,3.733,251307.47,2020-08-13T08:00:00.000Z,-0.08851707382605123,0.9152874831433125
51,1597309200000,3.73,3.95,3.5003,3.8387,155172.89,2020-08-13T09:00:00.000Z,0.02792156768235521,1.0283150281275113
52,1597312800000,3.8417,3.95,3.798,3.8749,50459.32,2020-08-13T10:00:00.000Z,0.009386088405903159,1.009430275874645
53,1597316400000,3.8751,3.9999,3.759,3.87,91154.29,2020-08-13T11:00:00.000Z,-0.0012653489790148686,0.9987354512374513
54,1597320000000,3.87,3.9242,3.8103,3.897,89047.44,2020-08-13T12:00:00.000Z,0.006952519314881833,1.0069767441860464
55,1597323600000,3.8979,3.9764,3.8705,3.9453,51652.58,2020-08-13T13:00:00.000Z,0.012317970677319545,1.0123941493456505
56,1597327200000,3.9734,4.0555,3.8888,3.9416,68663.22,2020-08-13T14:00:00.000Z,-0.0009382647862754556,0.9990621752464959
57,1597330800000,3.9292,3.96,3.8,3.8065,47636.3,2020-08-13T15:00:00.000Z,-0.03487660048348595,0.965724578851228
58,1597334400000,3.8065,3.9123,3.7698,3.9019,58736.84,2020-08-13T16:00:00.000Z,0.02475348222525242,1.0250623932746616
59,1597338000000,3.9016,3.9645,3.7909,3.8118,45608.65,2020-08-13T17:00:00.000Z,-0.02336209547097723,0.9769086855121863
60,1597341600000,3.8225,3.8699,3.79,3.83,23440.51,2020-08-13T18:00:00.000Z,0.004763284674149215,1.004774647148329
61,1597345200000,3.8201,3.8618,3.8095,3.8566,16313.38,2020-08-13T19:00:00.000Z,0.006921163110812811,1.0069451697127936
62,1597348800000,3.8549,3.87,3.7,3.7,66540.69,2020-08-13T20:00:00.000Z,-0.041453146653188666,0.9593942851216098
63,1597352400000,3.7251,3.747,3.6068,3.6356,61287.25,2020-08-13T21:00:00.000Z,-0.017558660387700487,0.9825945945945946
64,1597356000000,3.6229,3.7696,3.5385,3.7503,56783.77,2020-08-13T22:00:00.000Z,0.031061677520011655,1.0315491253163165
65,1597359600000,3.7686,3.8118,3.7002,3.73,30724.0,2020-08-13T23:00:00.000Z,-0.005427603126765934,0.9945870996986907
66,1597363200000,3.7207,3.7676,3.6325,3.6383,40138.58,2020-08-14T00:00:00.000Z,-0.024891694067972203,0.9754155495978553
67,1597366800000,3.6383,3.674,3.6068,3.6348,43508.23,2020-08-14T01:00:00.000Z,-0.0009624507486971634,0.9990380122584723
68,1597370400000,3.6348,3.6511,3.5717,3.6118,56677.57,2020-08-14T02:00:00.000Z,-0.006347825802948792,0.9936722790800044
